tweet_id,tweet_text
1,"RT @srivatsayb: 56-inch Narendra 'Jumla' Modi
🔸Lal Aankh to China
🔸Merciless against Italian Marines
🔸Bangladeshis are Termites

0.56-inch…"
2,"Amid her battle with cancer, Kirron Kher gets greetings from Prime Minister Narendra Modi wishing her long life and… https://t.co/Dijb1dMlqU"
3,Looking forward to working with PM Modi to further develop ‘unique and warm relations’: new Israeli PM Naftali Benn… https://t.co/DhOeAM6nfK
4,"Amid her battle with cancer, Kirron Kher gets greetings from Prime Minister Narendra Modi wishing her long life and… https://t.co/uWfA0gTxrp"
5,"PM Narendra Modi to deliver keynote address at VivaTech
https://t.co/vB4iIL9Bov
#KL https://t.co/YBkwqHOXrc"
6,Looking forward to working with PM Modi to further develop ‘unique and warm relations’: new Israeli PM Naftali Benn… https://t.co/W5ON21fjJ9
7,"RT @go4avinash: In the history of ""Bharatvarsh"", Congress is probably the first opposition party which is mocking elected Prime Minister of…"
8,"RT @DrSwetha98: PM Narendra Modi Ji, 5 Years Back, You wished Amaravati to become a Centre of Economic Growth and Revenue Generation. Today…"
9,"Prime Minister Narendra Modi will be speaking about India's strides in the world of tech and start-up,"" 
The event… https://t.co/sJpZrORg9f"
10,"RT @ChinarcorpsIA: On 16 Dec 2020, Prime Minister Narendra Modi @PMOIndia lit the ‘Swarnim Vijay Mashaal’ at National War Memorial, Delhi.…"
11,"RT @bdnayak: In last 10 years, around 30 lakh hectares of forest cover added in India: PM Modi at UN
https://t.co/nyqEGXhoNb

via NaMo App…"
12,"RT @RadioChinar: On Dec 16 2020, PM Shri Narendra Modi, lit up the '#SwarnimVijayMashaal' from the eternal flame at the National War Memori…"
13,"RT @bdnayak: PM Modi at UN: India working towards restoring 2.6 crore hectares of degraded land by 2030
https://t.co/kkCDWZ2tiN

via NaMo A…"
14,RT @mannkibaat: PM Shri Narendra Modi invites you to share your ideas and suggestions on topics he should address in the upcoming edition o…
15,"RT @purneshmodi: Amid her battle with cancer, Kirron Kher gets greetings from Prime Minister Narendra Modi wishing her long life and good h…"
16,"RT @srivatsayb: 56-inch Narendra 'Jumla' Modi
🔸Lal Aankh to China
🔸Merciless against Italian Marines
🔸Bangladeshis are Termites

0.56-inch…"
17,"Hon’ble Prime Minister Shri Narendra Modi will deliver the keynote address at the 5th edition of VivaTech today!
Vi… https://t.co/4tgH12Ehvw"
18,"RT @shekhar_tiwarii: Watch | Authoritarian at Home, Democrat Abroad, Who is the Real Narendra Modi?

@khanumarfa report

@thewire_in @thewi…"
19,"RT @purneshmodi: Looking forward to working with PM Modi to further develop ‘unique and warm relations’: new Israeli PM Naftali Bennett
htt…"
20,"RT @shekhar_tiwarii: Watch | Authoritarian at Home, Democrat Abroad, Who is the Real Narendra Modi?

@khanumarfa report

@thewire_in @thewi…"
21,"RT @yippeekiyay_dk: Good morning

Daily reminder : Sanghis are NOT Hindus. Narendra Modi is NOT India. And Chanda Chors are NOT Rambhakts."
22,"RT @shekhar_tiwarii: Watch | Authoritarian at Home, Democrat Abroad, Who is the Real Narendra Modi?

@khanumarfa report

@thewire_in @thewi…"
23,RT @TOIIndiaNews: PM Narendra Modi to deliver keynote address at VivaTech https://t.co/9MffoA51PW
24,"RT @Joydas: Narendra Modi said India willing to share Covid Expertise. So if any country needs expertise on how to fudge Covid Data, want p…"
25,"After seven years of Narendra Modi, India’s foreign policy establishment is deeply divided as the country slips glo… https://t.co/Nx9DsVcHfA"
26,"RT @BoghawalaHemali: Amid her battle with cancer, Kirron Kher gets greetings from Prime Minister Narendra Modi wishing her long life and go…"
27,"RT @ChinarcorpsIA: On 16 Dec 2020, Prime Minister Narendra Modi @PMOIndia lit the ‘Swarnim Vijay Mashaal’ at National War Memorial, Delhi.…"
28,"RT @CrescentDome: Narendra Modi also had abandoned his official wife #Jashodaben.

#BraveIndianWomen 
#WomensDay
https://t.co/wrxdQW3yUP

@…"
29,"RT @suhasinih: The difference in way govt percieves its challenges from Pakistan and China is hinted in the fact that PM, Cabinet marked th…"
