tweet_id,tweet_text
1,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
2,No hard feelings babes i should of know better Jah worned me about you i think you should fI'x up and you will get… https://t.co/PToUGjRWGE
3,RIP Cristano Ronaldo he would have loved my rapist 🙏🙏🙏
4,"Some things I missed the morning:

• Cristano Ronaldo becomes the all time #EURO2020 scorer.

• #HUN 0-3 #POR 

• 1… https://t.co/fFdOuwrnVX"
5,Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/czhmbPVeUb
6,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
7,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
8,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
9,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
10,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
11,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
12,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
13,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
14,RT @joebloggsuk1: like him or not theres no denying cristano ronaldo is one of the all time great players
15,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
16,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
17,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
18,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
19,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
20,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
21,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
22,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
23,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
24,RT @RealElBicho: Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
25,Cristano Ronaldo needed only 5 minute to overshadow Messi 90 minutes performance. My Goat. https://t.co/VYkAHq9R5j
26,"Not a big fan of Cristano Ronaldo, but I admire his consistency and drive for success.

One of the greatest footbal… https://t.co/lwUwHevha0"
27,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
28,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
29,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be https://t.co/BH61fhNjCN"
30,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
31,"RT @RealElBicho: Cristano Ronaldo is the greatest ever there was, there is and there will ever be"
32,"Cristano Ronaldo is the greatest ever there was, there is and there will ever be https://t.co/BH61fhNjCN"
33,"RT @Y0giDjspain: How the likes of Cristano  Ronaldo get slagged off is beyond me. we should just be lucky we got to watch him in the prem ,…"
34,"MOTM #POR 
Cristano ""The Goat"" Ronaldo"
35,How the likes of Cristano  Ronaldo get slagged off is beyond me. we should just be lucky we got to watch him in the… https://t.co/ob7eGY01MF
36,like him or not theres no denying cristano ronaldo is one of the all time great players
37,Cristano fucking ronaldo 🔥🐐
38,"Cristano Ronaldo 🤝 Lebron James: 

Both attempting to sell but will statpad to make people forget."
39,This is why Cristano Ronaldo is the greatest of all time 🐐 https://t.co/UpRU3DDjCQ
40,@brfootball @EURO2020 This is why Cristano Ronaldo is the greatest of all time 🐐
41,"Cristano ronaldo goal the SUPERMAN GOAL in graphics must watch !
#Juventus #CristianoRonaldo #CR7 #EUROS2020… https://t.co/J27tHXhAqO"
42,Cristano Ronaldo isn't top 15... the real Ronaldo is though. https://t.co/NWPSZtfXuH
43,Cristano Ronaldo took his teammate Drogba to the mall after showing up with the old man new balances https://t.co/aqXm4fAqlC
44,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
45,Cristano Ronaldo took his teammate Gabriel Jesus to the mall after showing up with the old man new balances https://t.co/gaaLiZcn1r
46,"RT @TheNoisyNeighb2: Give us your thought Citizens
Ronaldo and Dias to lead holders at Euro 2020 - Portugal profile, squad, fixtures

Crist…"
47,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
48,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
49,@EAFIFAMOBILE where is cristano ronaldo
50,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
51,"Give us your thought Citizens
Ronaldo and Dias to lead holders at Euro 2020 - Portugal profile, squad, fixtures

Cr… https://t.co/5Uf1Mz1SIg"
52,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
53,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
54,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
55,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
56,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
57,Cristano Ronaldo took his teammate Casemiro to the mall after showing up with the old man new balances https://t.co/uhupKrj49G
58,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
59,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
60,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
61,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
62,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
63,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
64,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
65,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
66,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
67,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
68,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
69,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
70,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
71,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
72,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
73,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
74,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
75,@AmeAdonis @Cynbeast23 Cristano Ronaldo and Bradley cooper ex
76,she went from cristano ronaldo to bradley cooper to kanye west 😭😭
77,RT @shazzyboi132: @ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
78,@ComplexMusic She went from cristano Ronaldo to Bradley cooper to Kanye 🤣
79,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
80,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
81,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
82,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
83,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
84,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
85,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
86,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
87,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
88,RT @Advaithgoat: Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
89,Noo wayy  cristano Ronaldo bodied the god @Ibra_official  on and off the pitch 😭😭 https://t.co/XNoaDbIHIk
