tweet_id,tweet_text
1,@Ellieofficial22 Happy birthday sweetheart.  Many more to come.
2,@Incogneko woops hope i didn't miss to say happy b-day!
3,"RT @PbbFanAccc: @kweeenella Eyeshadow

HAPPY 30K FOLLOWERS ELLA"
4,"RT @photobybaba: There are so many beautiful reason to be happy. JULIA BARRETTO

JustJuliaXXIV https://t.co/dd7n8ajCNH"
5,RT @TandugonAizyl: LIOFER I'M SO SORRY ! HAPPY BIRTHDAY. ILOVEYOU ❤
6,"It's hard for me to say, I'm jealous of the way. You're happy without me."
7,"RT @CinderELLAofc_: HAPPY 30K FOLLOWERS ELLA
@ellacayabyab_"
8,"Damn he’s only 21, he got a bright future. Happy G day to a LA rep https://t.co/IwSA7go8GG"
9,"@UnclePamilerin HAPPY BIRTHDAY OGA MI, WISHING YOU ALL THE BEST IN LIFE... YOUR NEW AGE WILL OPEN DOOR TO MORE BLES… https://t.co/9b8rSq6r0A"
10,@skkillett Happy birthday bby ily
11,"RT @akira0053: Happy Valentine's Day!  🐓💝🍫💀
#TAKAMORI #artsofashes #callillust https://t.co/qSLepSxA73"
12,"RT @bhuepesh: Happy wedding anniversary to these lovelies🥰😍
My fav @AnjanaVJ akka ❤ and @moulistic anna💕💕💕 
🥰such a caring and coolest pers…"
13,happy birthday @laintrepida 💕💕 https://t.co/6JgCTiGojE
14,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
15,@b0mbchell_ happy birthday to you 🙏🏾
16,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk
17,"RT @iamMaryamRosy: Happy Birthday bro @itz_Suresh_Vj  🎂🍰🥳🤩💥

#Master /@actorvijay ❤️
#TeamThalapathyBloods 
#Thalapathy65 https://t.co/rkhJ…"
18,RT @MTV: HAPPY BIRTHDAY to @BTS_twt's very own #SUGA! 💜🌟 https://t.co/P4GjgbOPEB
19,"“Hey honey! Happy international women’s day. Say, how bout we celebrate this by having you make dinner!” https://t.co/oDB4GA0yZF"
20,"RT @xavierofficials: not happy, not sad. just empty, like my wallet."
21,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
22,"@Netjeretkhau 
 Happy birthday kiddo, seeing that I'm on eastern time and it's after midnight here I'm going to cal… https://t.co/YTvmiFI2yr"
23,RT @rashtrapatibhvn: I am happy to know that 65 percent of the students in this university are women. Our daughters and sisters are breakin…
24,"RT @yedaminoona: Mashiho can finally play with Kotetsu again.
Asahi can now personally bond with his baby sister.
Haruto can eat his mom's…"
25,@ChenRcj happy level up day bb 🎂🎂❤️❤️
26,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
27,"RT @tagsenchemistry: Look who's trending at top 33 nationwide 👀 

""#DONBELLEmpire"" is trending now. Again, Happy DonBelle Day DonBelle and…"
28,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.
29,"RT @konic_keso: happy lunchtime to my fellow filokonics. have you been streaming? share me your setup!

IKON MAKES ME PROUD
#iKON #아이콘 @YG_…"
30,"RT @JohnnyThorFish: Sabi nga, faith without action is dead.

I'm so proud &amp; happy sa pamilyang 'to because we don't just pray &amp; hope for go…"
31,@halocloudss OMG HAPPY EARLY BIRTHDAY ILY
32,levi deserves to be happy idc isayama ull end aot w levi opening his tea shop and getting more than 3 hours of slee… https://t.co/5K0Nsvk8Ye
33,"RT @CancerTerms: #Cancers are basically happy, optimistic people with a cheerful &amp; hopeful outlook on life."
34,"RT @Kamille451: .@EricaNlewedim I pray today brings you many reasons to be happy. Your day is declared blessed, Amen🙏🏾 

#EricaTheStandard…"
35,"RT @joonskosmos: Fatima living every army’s dream 💜 she got to ask them amazing questions, tell them borahae, AND wish Yoongi a happy birth…"
36,"Congrats, kween Ella

HAPPY 30K FOLLOWERS ELLA https://t.co/Aw9TaMj4NW"
37,RT @rashtrapatibhvn: I am happy to know that 65 percent of the students in this university are women. Our daughters and sisters are breakin…
38,RT @ahemyg: these photos just make me happy. https://t.co/ocJNKw6hR4
