tweet_id,tweet_text
1,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
2,"RT @is_salsu: There’s only one GOAT and that is MESSI. 

He was the GOAT yesterday 
He is the GOAT today 
He will remain the GOAT forever"
3,RT @NateGuildea: It blows my mind how people can actually watch football and come to the conclusion Ronaldo is better than Messi it’s laugh…
4,RT @Omojuwa: The difference between Ronaldo and Messi for their national teams is that Portugal can win an important final in Ronaldo’s abs…
5,@xGPhilosophy Gets a lot more support than Messi
6,RT @Israr67118543: @Yesboss42 @dreamboymili @Daddy_Nomso @Omojuwa Wait what? I support real Madrid? I haven't changed any post. Can you den…
7,"RT @CrewsMat19: Messi and Ronaldo's last 2 games sum up their international careers.

Messi was MOTM, created big chances for his teammates…"
8,RT @Mbahdeyforyou: We all know the best player in the world is Messi 🐐
9,RT @_zhxnae: Friend dates are so essential
10,"RT @Letter_to_Jack: This is a smelly agenda. 

If another argentine player played the PK in place of Messi in that final vs Chile, they’d h…"
11,RT @Opresii: Cristiano Ronaldo Should give his Uefa Nation's League medal to Lionel Messi... When you get more than enough you should give…
12,RT @__Sharyf: Cristiano Ronaldo’s greatest achievement in his football career is being mentioned in the same sentence with Messi.
13,Fuck pickles 🤢
14,"RT @gyaigyimii: ""No penalty no party"" how many goals Messi score from open play for champions league?? Get out! Free my man! Ronaldo Goat!…"
15,"RT @TheSunFootball: Blackburn striker Ben Brereton, born in Stoke, makes shock CHILE debut against Messi’s Argentina https://t.co/EvD0JHBKHb"
16,"RT @ChelseaFCBlogs_: Ask any attacker who the hardest player they've played against is, and they will say N'Golo Kante.🇫🇷

Ask any defender…"
17,"RT @majidhabib39: Who's your GOAT between Cristiano Ronaldo and Messi?

Rt 🔃 Ronaldo    Like ❤️ Messi 

#PORHUN https://t.co/PSWXcm4ccq"
18,RT @Omojuwa: I watched Messi create THREE CLEAR chances yesterday that is team mates flunked. The difference between them is that Ronaldo c…
19,RT @breathMessi21: This agenda against Messi is getting out of hand..certain obsessed pr merchants increased their spendings even more on b…
20,RT @woosuzjedzmnie: do 👈🏻 you 🙀 like 💋 messi ⚽️ ? yes 😄 but ☠️ my 🧑🏻‍🦰 favorite 👯‍♂️ soccer 🧍🏻 player 👨‍❤️‍💋‍👨 is 🦑 LeEewAanDoOwSssKiiii🤪👍🏻
21,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
22,Which version of Messi y’all taking? https://t.co/x5wJgyEBTc
23,"RT @MarcGeschwind: The point here shouldn’t be that Portugal necessarily “create” better chances for Ronaldo, it’s merely that these are th…"
24,Messi can’t and failed to even score a single goal in this tournament https://t.co/sI5lew4yn6
25,RT @NatiAFC: The way Messi fans get summoned whenever someone says Ronaldo’s the GOAT 😭😭
26,RT @Qwerty_rmcf: @LM10_Angad @CrewsMat19 In fact peak Ronaldo was a better dribbler &amp; playmaker than messi he used to puts up similar dribb…
27,RT @YAbbanx: Nothing can change the fact that Messi is the greatest to grace the world of football. Ke ka bi na k)da 3nse sa hweeee
28,"RT @CrewsMat19: Messi and Ronaldo's last 2 games sum up their international careers.

Messi was MOTM, created big chances for his teammates…"
29,"Messi scores free kick in copa America
Cristiano replies with penalty for Portugal 
Janjali: hold my beer… https://t.co/thWXRVSDLm"
30,"🔔 FRANCE POLO🔔
  
#6000

Calls/WhatsApp - 09035211635

WHAT YOU SEE IS WHAT YOU GET 💯

I beg you in the name of GOD… https://t.co/MwwJ2P382g"
31,"Once in a year.
Once in 4 years.
Once in a decade.

Only once in a lifetime, Leo Messi. https://t.co/9zuVYVj59U"
32,"RT @lapulgafreak: Messi has 3 children?

Ronaldo has 4 and with two different mothers 🐐 https://t.co/BmC3dix6lu"
33,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
34,"RT @BayernLM10: Messi has made 317 progressive passes this season, the most in Europe’s top 5 leagues.

The second most by a forward is 40t…"
35,RT @woosuzjedzmnie: do 👈🏻 you 🙀 like 💋 messi ⚽️ ? yes 😄 but ☠️ my 🧑🏻‍🦰 favorite 👯‍♂️ soccer 🧍🏻 player 👨‍❤️‍💋‍👨 is 🦑 LeEewAanDoOwSssKiiii🤪👍🏻
36,"RT @CrewsMat19: Messi and Ronaldo's last 2 games sum up their international careers.

Messi was MOTM, created big chances for his teammates…"
37,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
38,"RT @lapulgafreak: Messi has 3 children?

Ronaldo has 4 and with two different mothers 🐐 https://t.co/BmC3dix6lu"
39,"RT @JamieButon: Messi amefikisha Argentina several finals including a world cup but mnamslander, ni kama ufike finals na dem ukose kuamsha…"
40,"RT @EdmundOris: Messi is scoring freekicks, Ronaldo is scoring penalties.

I know which one takes more brilliance."
41,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
42,RT @Omojuwa: I watched Messi create THREE CLEAR chances yesterday that is team mates flunked. The difference between them is that Ronaldo c…
43,RT @MrFilipeOrlando: Lionel Messi played for the cameras and left the game with a draw. Cristiano Ronaldo played for the result and left th…
44,"RT @BayernLM10: Cristiano Ronaldo received 2 big chances in the last 5 minutes of the game, twice as many as Messi in the entire Copa Ameri…"
45,@Sirfreshsemi @Omojuwa So why can't Messi win a trophy with Argentina if can carry a team alone🤔
46,"RT @EverythingLM10: 🎙️ Fabio Capello (Former Juventus manager): ""Messi is Messi, he's a genius and for me the best in history, ahead of Mar…"
47,"RT @is_salsu: There’s only one GOAT and that is MESSI. 

He was the GOAT yesterday 
He is the GOAT today 
He will remain the GOAT forever"
48,"@DannyCrypt Please retweet and send a DM 🙏

Turtle Neck = N4500

Location = Lagos 
Nationwide delivery

Call/WhatsA… https://t.co/IsDegNO6C4"
49,"@ThatCoolCule @Goal_India I'm not Messi's hater.
People should learn to respect quality players.
What CR7 and Messi… https://t.co/zmmO8TZIQj"
50,RT @MessiMX10i: The chances Messi gets vs the chances Ronaldo gets https://t.co/yEiEtuUJV9
51,"RT @MessiPerfect: When it matters the most🐐🔥
#Messi https://t.co/fp8UXaHvkQ"
52,@HereHeIsAgain @Schule7i @goal Cr7 has more braces to Messi stop saying rubbish
53,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
54,RT @Omojuwa: The difference between Ronaldo and Messi for their national teams is that Portugal can win an important final in Ronaldo’s abs…
55,@RossGoonerTV For me it is Messi
56,"@Elmago24700941 @royinnit @MUFCnik Ronaldo had more assists than Modric you clown, Ronaldo deserved the 2018 Ballon… https://t.co/IYbbCiQSW6"
57,RT @iamillven: @EdmundOris @Jnr_elnino They'll not mention that Messi's last 10 goals for Argentina before yesterday's own have all been pe…
58,@mr_shjoy @IndianRegista @Cristiano He is the G.O.A.T because even after a bad game for everyone in his team when t… https://t.co/EkXxWH6NAy
59,"RT @Joshua_Ubeku: Before the end of 2021, Messi will surely get up to 65 career freekicks. That Juninho’s record is surely going down!"
60,RT @woosuzjedzmnie: do 👈🏻 you 🙀 like 💋 messi ⚽️ ? yes 😄 but ☠️ my 🧑🏻‍🦰 favorite 👯‍♂️ soccer 🧍🏻 player 👨‍❤️‍💋‍👨 is 🦑 LeEewAanDoOwSssKiiii🤪👍🏻
61,"RT @FCBarcelona: 🤯 Messi has scored more goals from free kicks than any other active player (57!) 🐐
🍿 Sit down and enjoy"
62,@Igotthemojodeal Was once an untouchable alongside Messi what happened to him https://t.co/Tu0VguG97v
63,RT @MrFilipeOrlando: Before Cristiano Ronaldo Portugal never reached an international final. Before Lionel Messi Argentina have reached 32…
64,RT @ShahabFcb_: Cristiano deadarse has a better international career than Messi and yeah im a Messi fan
65,RT @utdrobbo: It must be so infuriating being a genuine hater of either Lionel Messi or Cristiano Ronaldo because I really cannot see any w…
66,RT @Mbahdeyforyou: We all know the best player in the world is Messi 🐐
67,RT @ethancleverly10: Just a friendly reminder that its 2021 and Lionel Messi is still by far the greatest player of all time https://t.co/z…
68,RT @NatiAFC: The way Messi fans get summoned whenever someone says Ronaldo’s the GOAT 😭😭
69,@culerudy So many wingback type player's
70,RT @Daddy_Nomso: @Omojuwa Portugal did not win any European Trophy till Ronaldo came around while Argentina won 2 World Cups &amp; 14 Copa Amer…
71,"RT @PoojaMedia: Sanchez is bigger than Messi in South America in terms of goals, influence &amp; trophy won for their teams."
72,"RT @BenopaOnyx1: Cristiano Penaldo once again bailed out by his team mates 
This is what Messi lacks in the Argentina team"
73,"RT @Tife_fabunmi: Messi makes his fans create excuses for his failures.

Ronaldo makes his fans crazy with his successes. 

Choose your GOA…"
74,RT @Mbahdeyforyou: We all know the best player in the world is Messi 🐐
75,"RT @FCBarcelona: 🤯 Messi has scored more goals from free kicks than any other active player (57!) 🐐
🍿 Sit down and enjoy"
