tweet_id,tweet_text
1,"@annemarike oh no  owies, when will that happen? "
2,RT @zaibatsu: Should You Follow Back On Twitter? http://t.co/4Wwdy96I #sm #twitter
3,TODAAAAAY! Let's show Nottingham how things are done! 
4,i cant sleep 
5,@StreetWearBear.  yes I am thanks for reaveling to the world bro fuck my life hahaha
6,@PhillyD Awe it always sucks when you cant sleep in your own bed  Hope your dad gets better he is in my prayers .
7,"""Straight Outta Hak Mob"" RT @Jhon_Doe_Smokes: Out of my 7 months of actually gettin on #Twitter. I've only beeâ€¦ (cont) http://t.co/qDM3X8BB"
8,"@Kal_Penn arrrggghhh, and I hadn't seen last night's episode yet! Pity to lose you, though. "
9,@katayy what do you think of Kelly clarkson? her new album has been pumping through my MP3 player for weeks now 
10,@heidimontag hi  I'm new to twitter 
11,This nigga need to go to #Twitter Jail
12,@amp451 good night  sweet dreamz
13,#twitter I hope all of you never stop dreaming! Because dreams fuel your soul! I love dreaming big and seeing what happens!
14,23 or 24ï¿½C possible today. Nice 
15,@nand_krish007 #Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/pltitgeI
16,is thinking big v twin 
17,Good Night #Twitter.
18,"@DefyGravity81 damn B, espanol and francais? you are one talented lady "
19,@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year 
20,morning everyone!! still feeling poorly!   hope u all have a good day! x
21,oh wtf @ house. NOT COOL. 
22,hot deadline... 
23,mock + documentary=mockumentary  
24,I Feel Like #Promoting Anyones #Twitter Page (â™¦MENTION ME IF YOU WANT TO GET #PROMOTEDâ™¦) [ #PromoteBack ] twitter
25,RT @JonJars: #twitter; for those statuses you'd never post on #facebook
26,ugh... allergies are killing me tonight! this house is driving me crazy! you and i should just run off and live in a bubble together  yes?
27,How strategic is our technology agenda? http://t.co/bmeiy5rq #Twitter #Strategy
28,if u couldnt tweet from your phone a lot of people wouldnt be on #twitter -- #broke #fact
29,@cookrn woohoo!  yeah that day i was rockin it hard core  
30,@HectorAlteto welcome to the #twitter
31,I am going to be 30 in a month...  Ugh 
32,The train is travelling at a speed that will get me to the gym before work 
33,@babyporridge I didn't get your 'Twitter is crap' reply 
34,I wish we had a Dunkin Donuts in Holland  Today my moms back from Japan. Can't wait to see her!
35,RT @Luisfitq: Ty!RT @nine_oh: SIMPLY DA BEST ON #TWITTER MY TWEEPS @MsCarieFWR @dizzleb19 @LBN_Prod @Federal_and_Co @KimDeanMusic @mscre ...
36,"@ryuuenx no the other guys you mentioned, haha  its cool ive been posting up random stuff for the past hour&amp; been getting a kick out of it"
37,@imagejennation @whitrt we found a great Chinese place to hang out at 
38,#Microsoft #Dynamics GP soon to offer 64-bit Hyper-V images only : http://t.co/82CFFcHZ
39,#Twitter&FBOff
40,I'm officially going to bed! Goodnight 
41,OK all... Off to sleep on my magnetic mattress.  http://bit.ly/hPNrI  G'night all!  Sweet Dreams.   
42,#twitter be making my ass stay up later than planed
43,"@smaffulli correction: they don't tell you, but a cert. is there. How you can use it is a different matter, and without Win yet another! "
44,@meganh93 same it has been drizzling all day  if u are going to rain might as well pour.
45,Went to the doctor's today and my blood sugar level was 178. 
46,"But the international font looks ugly. Going back to original font. After all, who'd tweet in malayalam "
47,@lucky_23 Your avatar is teh purdiness 
48,"#Google #Mobile Boss Andy Rubin on #Apple, #Microsoft and Tablets, Live at AsiaD - Ina Fried - #Mobile - AllThingsD http://t.co/S0jkqPwn"
49,- My Cute Friend @MelodyBtcc Finally Got A #Twitter :)
50,Early Twitter Buzz: Star Trek Has Secret Premiere in Austin - http://is.gd/r9vr Holy crap! Wish I was there... 
51,@trash_kitten  solution will be found!
52,@EmilyCello Nessun realmente! ... I guess &quot;No! Davvvero!&quot; is what you mean 
53,"had a flu shot at work, now my arm hurts "
54,@KevinRuddPM: you're a dead set legend! Please make the broadbands super fast I will love you forever. 
55,@d_TRIX my mom just had a root canal also...i feel your pain buddy! 
56,#Microsoft idea: Search the Internet like a celebrity (Todd Bishop/GeekWire) http://t.co/WhROX8KA
57,@garretjiroux do u write back on twitter? i miss ya garee...  x
58,#Oomf dnt start dis sh*t on #twitter
59,"REALLY heavy rain, at the top of 18flr building  Splendid."
60,@lanaveenker It's not as much as I appreciate the information. Thanks! 
61,#twitter off!!*
62,ok my TWEET PEEP i must head to bed now...Got to take a test in Law tomorrow  ...is it summer yet?  anyway much love and HUGGERS
63,"Omni Touch Screen System: going beyond the ""touch screens"" http://t.co/aROkfnOS  #Featured #Tech&amp;Gadgets #Microsoft #Omnitouch"
64,#twitter is great once you get the hang of itâ€œ@HaxxDubbz: @CBMonarch @Bran_Day I told her to get one to be a cool kid lolâ€
65,@julieand break out your Bible and share some scripture...its what I do!! 
66,"@joshsharp no money yet, i dont know anyone who has  maybe its all just a lie!! hes having us on so we all like him a little bit more lol"
67,"@sarakgee  im not sur ehon, im coming with 2 more people, we have like 10 days. How bout ya'll come ot LA? "
68,Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info
69,"called my hunnybunny, and i miss her already!  night lova'!"
70,"RT ""@RobyQQ: Your #Twitter followers either like you for your sense of humor or sex appeal."" -- I guess, I'm funny then... LOL!"
71,shares Yeheeyyy! My karma has gone up  http://plurk.com/p/mzrpe
72,"i just finished doing my nails, they are electric blue "
73,"i'm feeling somewhat artistic...time to break out the sketching pad, i feel a new dress design coming "
74,cuz like troybolton is the hottiemcsuperbob. omfgz. my nail buds  - cries -
75,ONE SERIOUS STATEMENT THO ! twitter
76,@JakeDizzleWins We Need To Speak Sum Real Shit On #Twitter
77,"@trentvanegas twitter ain't broke, Trent, they got plenty of dough "
78,No music today. Blip.fm is undergoing maintenance 
79,@ruthclayton oh i aint gonna be ur bitch  but i will be HIS.. muwahaha
80,@jdpeterson  hope you feel better. why cali?
81,@shantelleb so has mine 
82,"#ihateitwhen i think of a cool twit,by da tym i grab da fone & load #twitter i would have forgotten it!!! #dumbass"
83,@KendallMassey @jclayville rocks. But don't tell her I said that 
84,@mademoiselledee That is one freaky movie. I like &quot;I got life&quot; 
85,i want a guy like carmello or jimmy 
86,i wonder how long i can stay up until i pass out and wake up again at 6 
87,still waiting and missing my baby boy! 
88,ah..I hate flu..now its third day. guess what happened accidently I shaved my eye brows off. I need glasses 
89,@markegli &amp; @kariegli the dinner menu this week is something pasta-y (we have cheese?) and also chicken noodle soup. 
90,@ManwitPURPOSE50 what are you doing now on #twitter????
91,Too much traffic on the A2  Can't wait till all 10 lanes are ready ... 2010?
92,#Microsoft #Cloud Getting Started with Microsoft's Windows Azure Cloud: The Lay of ...: Good tools integrat... http://t.co/2luPCfho #TCN
93,yay finally  lmao
94,really hungry...so i grabbed some ice cream from the freeze. 
95,RT @Grazitti: #Twitter to Reformat All URLs With T.co	http://t.co/jnmnbs9W
96,i had a extravagant yet time conserving plan lined up for today.......which ive now forgotten 
97,Bad day today just bad but loved seeing sancha again 
98,owww.... just hit my elbow really hard on a door 
99,"Hey I'm doing this, at this place, around this time (you should come). #Twitter"
100,Goodnight #twitter see you in the morning for another #successful day!
101,RT @nataliajones: Use #Twitter to generate traffic to your website http://t.co/72YmN3kD
102,@deon - &quot;source shine2&quot;? hahahaha... istilah yang aneh 
