tweet_id,processed_tweet
1,world leader narendra india_with_pm_modi
2,looking current situation country said bjp political party anymore cult
3,looking current situation country said bjp political party anymore cult
4,looking current situation country said bjp political party anymore cult
5,looking current situation country said bjp political party anymore cult
6,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
7,best part narendra modi go temples elections coz wears religion
8,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
9,looking current situation country said bjp political party anymore cult
10,thoughts video
11,narendra modi doesnt respond people rather brings new slogan doubt gave spin mamata
12,looking current situation country said bjp political party anymore cult
13,looking current situation country said bjp political party anymore cult
14,good morning daily reminder sanghis hindus narendra modi india
15,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
16,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
17,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
18,prime minister narendra modi greets cisf personnel raising day role furthering national safety progress
19,looking current situation country said bjp political party anymore cult
20,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
21,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
22,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
23,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
24,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
25,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
26,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
27,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
28,looking current situation country said bjp political party anymore cult
29,looking current situation country said bjp political party anymore cult
30,pakistanresolution telling many generations saved tyranny brutality
31,looking current situation country said bjp political party anymore cult
32,modi worse covid believe snake narendra_modi foreign slogan
33,pm narendra modi lauds cisf raising day says role furthering national safety progress deeply valued
34,looking current situation country said bjp political party anymore cult
35,got goat narendra modi govt whose leader qualms addressing campaign style rallies texas
36,looking current situation country said bjp political party anymore cult
37,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
38,looking current situation country said bjp political party anymore cult
39,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
40,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
41,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
42,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
43,modi worse covid believe snake narendra_modi foreign slogan
44,looking current situation country said bjp political party anymore cult
45,looking current situation country said bjp political party anymore cult
46,tripura experiencing change double engine government pm narendramodi via namo app
47,looking current situation country said bjp political party anymore cult
48,looking current situation country said bjp political party anymore cult
49,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
50,narendra modi popular democratically elected leader world since india
51,best part narendra modi go temples elections coz wears religion
52,looking current situation country said bjp political party anymore cult
53,looking current situation country said bjp political party anymore cult
54,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
55,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
56,administration insulted us powers prime minister narendra modi promised first ddc
57,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
58,looking current situation country said bjp political party anymore cult
59,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
60,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
61,signal suga raises hong kong south china sea xinjiang phone call
62,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
63,looking current situation country said bjp political party anymore cult
64,looking current situation country said bjp political party anymore cult
65,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
66,looking current situation country said bjp political party anymore cult
67,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
68,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
69,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
70,looking current situation country said bjp political party anymore cult
71,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
72,tmc writes ec pm picture covid19 vaccination certificate trinamool congress wrote
73,india_with_pm_modi hear heart beat poor feel son poor mother live life trodden respect
74,looking current situation country said bjp political party anymore cult
75,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
76,double face narendra modi assembly elections narendra asked people vote corrupt mukul roy
77,india_with_pm_modi prime minister narendra modi arrives parliament participate bjp parliamentary party
78,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
79,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
80,quad focus pm narendra modi japan pm suga yoshide hold talks phone
81,join celebrating anniversary shri sunil gavaskar jis test debut indeed momentous occasion
82,looking current situation country said bjp political party anymore cult
83,narendra modi popular democratically elected leader world since india
84,prime minister narendra modi arrives parliament participate bjp parliamentary party meeting
85,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
86,india_with_pm_modi hear heart beat poor feel son poor mother live life trodden
87,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
88,tripura experiencing change double engine government pm narendra modi
89,attended book release prime minister shri narendra modi ji dr karan singh ji lt governor shri
90,best part narendra modi go temples elections coz wears religion
91,prime minister narendra modi releases volumes manuscript commentaries scholars shlokas bhagavad gita
92,looking current situation country said bjp political party anymore cult
93,best part narendra modi go temples elections coz wears religion
94,looking current situation country said bjp political party anymore cult
95,narendra modi popular democratically elected leader world since india
96,looking current situation country said bjp political party anymore cult
97,dr manmohan singh stronger prime minister narendra modi agree
98,looking current situation country said bjp political party anymore cult
99,looking current situation country said bjp political party anymore cult
100,breaking first quad virtual summit march prime minister narendra modi participating
