tweet_id,processed_tweet
1,cristano ronaldo greatest ever ever
2,hard feelings babes know better jah worned think fix
3,rip cristano ronaldo would loved rapist
4,things missed morning cristano ronaldo becomes time euro2020 scorer hun por
5,cristano ronaldo needed minute overshadow messi minutes performance goat
6,cristano ronaldo greatest ever ever
7,cristano ronaldo needed minute overshadow messi minutes performance goat
8,cristano ronaldo greatest ever ever
9,cristano ronaldo needed minute overshadow messi minutes performance goat
10,cristano ronaldo needed minute overshadow messi minutes performance goat
11,cristano ronaldo needed minute overshadow messi minutes performance goat
12,cristano ronaldo needed minute overshadow messi minutes performance goat
13,cristano ronaldo greatest ever ever
14,like theres denying cristano ronaldo one time great players
15,cristano ronaldo needed minute overshadow messi minutes performance goat
16,cristano ronaldo needed minute overshadow messi minutes performance goat
17,cristano ronaldo needed minute overshadow messi minutes performance goat
18,cristano ronaldo needed minute overshadow messi minutes performance goat
19,cristano ronaldo needed minute overshadow messi minutes performance goat
20,cristano ronaldo needed minute overshadow messi minutes performance goat
21,cristano ronaldo needed minute overshadow messi minutes performance goat
22,cristano ronaldo needed minute overshadow messi minutes performance goat
23,cristano ronaldo needed minute overshadow messi minutes performance goat
24,cristano ronaldo needed minute overshadow messi minutes performance goat
25,cristano ronaldo needed minute overshadow messi minutes performance goat
26,big fan cristano ronaldo admire consistency drive success one greatest
27,cristano ronaldo greatest ever ever
28,cristano ronaldo greatest ever ever
29,cristano ronaldo greatest ever ever
30,cristano ronaldo greatest ever ever
31,cristano ronaldo greatest ever ever
32,cristano ronaldo greatest ever ever
33,likes cristano ronaldo get slagged beyond lucky got watch prem
34,motm por cristano goat ronaldo
35,likes cristano ronaldo get slagged beyond lucky got watch
36,like theres denying cristano ronaldo one time great players
37,cristano fucking ronaldo
38,cristano ronaldo lebron james attempting sell statpad make people forget
39,cristano ronaldo greatest time
40,cristano ronaldo greatest time
41,cristano ronaldo goal superman goal graphics must watch juventus cristianoronaldo cr7
42,cristano ronaldo isnt top real ronaldo though
43,cristano ronaldo took teammate drogba mall showing old man new balances
44,went cristano ronaldo bradley cooper kanye
45,cristano ronaldo took teammate gabriel jesus mall showing old man new balances
46,give us thought citizens ronaldo dias lead holders euro portugal profile squad fixtures
47,went cristano ronaldo bradley cooper kanye
48,went cristano ronaldo bradley cooper kanye
49,cristano ronaldo
50,went cristano ronaldo bradley cooper kanye
51,give us thought citizens ronaldo dias lead holders euro portugal profile squad fixtures
52,went cristano ronaldo bradley cooper kanye
53,went cristano ronaldo bradley cooper kanye
54,went cristano ronaldo bradley cooper kanye
55,went cristano ronaldo bradley cooper kanye
56,went cristano ronaldo bradley cooper kanye
57,cristano ronaldo took teammate casemiro mall showing old man new balances
58,went cristano ronaldo bradley cooper kanye
59,went cristano ronaldo bradley cooper kanye
60,went cristano ronaldo bradley cooper kanye
61,went cristano ronaldo bradley cooper kanye
62,went cristano ronaldo bradley cooper kanye
63,went cristano ronaldo bradley cooper kanye
64,went cristano ronaldo bradley cooper kanye
65,went cristano ronaldo bradley cooper kanye
66,went cristano ronaldo bradley cooper kanye
67,went cristano ronaldo bradley cooper kanye
68,went cristano ronaldo bradley cooper kanye
69,went cristano ronaldo bradley cooper kanye
70,went cristano ronaldo bradley cooper kanye
71,went cristano ronaldo bradley cooper kanye
72,went cristano ronaldo bradley cooper kanye
73,went cristano ronaldo bradley cooper kanye
74,went cristano ronaldo bradley cooper kanye
75,cristano ronaldo bradley cooper ex
76,went cristano ronaldo bradley cooper kanye west
77,went cristano ronaldo bradley cooper kanye
78,went cristano ronaldo bradley cooper kanye
79,noo wayy cristano ronaldo bodied god pitch
80,noo wayy cristano ronaldo bodied god pitch
81,noo wayy cristano ronaldo bodied god pitch
82,noo wayy cristano ronaldo bodied god pitch
83,noo wayy cristano ronaldo bodied god pitch
84,noo wayy cristano ronaldo bodied god pitch
85,noo wayy cristano ronaldo bodied god pitch
86,noo wayy cristano ronaldo bodied god pitch
87,noo wayy cristano ronaldo bodied god pitch
88,noo wayy cristano ronaldo bodied god pitch
89,noo wayy cristano ronaldo bodied god pitch
