tweet_id,processed_tweet
1,cristiano ronaldo portugal never reached international final lionel messi argentina reached
2,one goat messi goat yesterday goat today remain goat forever
3,blows mind people actually watch football come conclusion ronaldo better messi
4,difference ronaldo messi national teams portugal win important final
5,gets lot support messi
6,wait support real madrid havent changed post
7,messi ronaldos last games sum international careers messi motm created big chances
8,know best player world messi
9,friend dates essential
10,smelly agenda another argentine player played pk place messi final vs chile
11,cristiano ronaldo give uefa nations league medal lionel messi get enough
12,cristiano greatest achievement football career mentioned sentence messi
13,fuck pickles
14,penalty party many goals messi score open play champions league get free man ronaldo
15,blackburn striker ben brereton born stoke makes shock chile debut argentina
16,ask attacker hardest player theyve played say ngolo ask
17,whos goat cristiano ronaldo messi ronaldo like messi porhun
18,watched messi create three clear chances yesterday team mates flunked difference ronaldo
19,agenda messi getting hand certain obsessed pr merchants increased spendings even
20,like messi yes favorite soccer player
21,cristiano ronaldo portugal never reached international final lionel messi argentina reached
22,version messi taking
23,point portugal necessarily better chances ronaldo merely
24,messi failed even score single goal tournament
25,way messi fans get summoned whenever someone says goat
26,fact peak ronaldo better dribbler playmaker messi used puts similar
27,nothing change fact messi greatest grace world football ke ka bi na sa hwee
28,messi ronaldos last games sum international careers messi motm created big chances
29,messi scores free kick copa america cristiano replies penalty portugal janjali hold
30,france see get beg name
31,year years decade lifetime leo messi
32,messi children ronaldo two different mothers
33,cristiano ronaldo portugal never reached international final lionel messi argentina reached
34,messi made progressive passes season top leagues second forward
35,like messi yes favorite soccer player
36,messi ronaldos last games sum international careers messi motm created big chances
37,cristiano ronaldo portugal never reached international final lionel messi argentina reached
38,messi children ronaldo two different mothers
39,messi amefikisha argentina several finals including world cup mnamslander ni kama ufike finals na dem ukose
40,messi scoring freekicks ronaldo scoring penalties know one takes brilliance
41,cristiano ronaldo portugal never reached international final lionel messi argentina reached
42,watched messi create three clear chances yesterday team mates flunked difference ronaldo
43,lionel messi played cameras left game draw cristiano ronaldo played result left
44,cristiano ronaldo received big chances last minutes game twice many messi entire copa
45,cant messi win trophy argentina carry team
46,fabio capello former juventus manager EMO_NEG messi messi hes genius best history ahead
47,one goat messi goat yesterday goat today remain goat forever
48,please retweet send dm turtle neck n4500 location lagos nationwide delivery
49,im messis hater people learn respect quality players cr7
50,chances messi gets vs chances ronaldo gets
51,matters messi
52,cr7 braces messi stop saying rubbish
53,cristiano ronaldo portugal never reached international final lionel messi argentina reached
54,difference ronaldo messi national teams portugal win important final
55,messi
56,ronaldo assists modric clown ronaldo deserved
57,theyll mention messis last goals argentina yesterdays
58,g.o.a.t even bad game everyone team
59,end messi surely get career freekicks record surely going
60,like messi yes favorite soccer player
61,messi scored goals free kicks active player sit enjoy
62,untouchable alongside messi happened
63,cristiano ronaldo portugal never reached international final lionel messi argentina reached
64,cristiano deadarse better international career messi yeah im messi fan
65,must infuriating genuine hater either lionel messi cristiano ronaldo really cannot see
66,know best player world messi
67,friendly reminder lionel messi still far greatest player time
68,way messi fans get summoned whenever someone says goat
69,many wingback type players
70,portugal win european trophy till ronaldo came around argentina world cups copa
71,sanchez bigger messi south america terms goals influence trophy teams
72,cristiano penaldo bailed team mates messi lacks argentina team
73,messi makes fans create excuses failures ronaldo makes fans crazy successes choose
74,know best player world messi
75,messi scored goals free kicks active player sit enjoy
76,messi ict fan person book
77,whos goat cristiano ronaldo messi ronaldo like messi porhun
78,cristiano ronaldo portugal never reached international final lionel messi argentina reached
79,cristiano ronaldo portugal never reached international final lionel messi argentina reached
80,ofcourse ronaldo score twice messi scored one copa
81,tweet senseless debate ronaldo messi
82,messi love
83,shame second best footballer time behind messi anything ronaldo deserves massive credit
84,cristiano ronaldo portugal never reached international final lionel messi argentina reached
85,lionel messi worlds greatest free kick taker
86,friendly reminder lionel messi still far greatest player time
87,cristiano ronaldo portugal never reached international final lionel messi argentina reached
88,messi official open play goal argentina last days ronaldo portugal last hours
89,ion need watch watched prime messi better
90,rest g one comes close messi real
91,cristiano ronaldo portugal never reached international final lionel messi argentina reached
92,cristiano ronaldo portugal never reached international final lionel messi argentina reached
93,buy neymar ronaldo messi chor bazaar
94,lionel messi played cameras left game draw cristiano ronaldo played result left
95,stats games messi goals assists cristiano goals assists
96,watched messi create three clear chances yesterday team mates flunked difference ronaldo
97,messi arguably best player time still struggles taking
98,ronaldo bad messi
99,messi goal chile copaamerica messi
100,wasting pass pure football terrorism
