tweet_id,tweet_text,polarity
1,RT @lanaamontanaa: Happy International Women’s Day 💐 https://t.co/2iUctaAbzv,positive
2,"RT @_pyewacket_: The Happy Egg Company exposed. Free range is a lie.

https://t.co/I5lN335tE2",neutral
3,RT @OldTakesExposed: Happy first anniversary https://t.co/oMD8Fushjc,positive
4,"RT @dinaashersmith: Me for @PlayersTribune 🖤
Happy belated #IWD2021 https://t.co/S9Eo7d8wbq",positive
5,RT @20060322Tomo: Happy Tuesday… https://t.co/TTVzeIts2z,positive
6,RT @FKAkai_: happy international women’s day to the baddest bitches alive https://t.co/2ysgTBAwXk,positive
7,RT @ValerioLivia: @rebeccaabdu @Make_u2_happy @kapii7 @Sensibilia8 @FriendArt_ @GerardBigPlus1 @yianniseinstein @agustin_gut @DavLucia @cla…,positive
8,RT @decafmari_: happy #InternationalWomensDay to BIPOC women especially.,positive
9,"RT @_puriiizu_: Happy 1st Anniversary, Twisted Wonderland! 🎉🎉🎉

Here are some english translation of the event!

#TwistedWonderland #twst #…",positive
10,RT @da_keebabyy01: I can sit in my room for hours and be happy as hell lol. Y’all need to learn how to be alone.,positive
11,"@RefAubrey Happy Birthday, my friend! Hope all is well with you and that you have a great day!",positive
12,RT @Jarrius: Happy #InternationalWomensDay to my heroes ⭐️ @StephMcMahon @MsCharlotteWWE @AlexaBliss_WWE https://t.co/qpq23ZMba0,positive
13,@S71Driver @sfw_db Thanks! I'm really happy with how it turned out! 😁,positive
14,RT @FILMDILFS: happy birthday oscar isaac https://t.co/xvVWHHJ0su,positive
15,"HUF HUF STILL MAKE IT
NOT TOO FAR AHAHA

I'M SORRY HOSHI!! AND HAPPY BIRTHDAY MY BADASS DAUGHTER 💕💕💕💕💕",positive
16,RT @AnandWrites: Always happy to have incredibly awkward conversations about the wealth tax on @CNBC! https://t.co/VEKGmOGb1r,positive
17,"RT @jeansstein: Happy #InternationalWomensDay to all the amazing wonder women out there! 

#IWD #WonderWoman https://t.co/iv96VxyfBz",positive
18,@YunalesckaGames Yay!! So happy for you 💜,positive
19,"RT @short_porch: Happy birthday to our skipper, @AaronBoone 
 https://t.co/cRCwHHAw2k",positive
20,RT @getongab: I was told that they would be happy to work with a Christian man who was being shut out by the secular world. I opened an acc…,positive
21,"Her love for Toulouse and how happy she is, when she is with him is so cute! https://t.co/Nsmmivt4w1",positive
22,"RT @manukumarjain: 𝐁𝐢𝐠 𝐀𝐧𝐧𝐨𝐮𝐧𝐜𝐞𝐦𝐞𝐧𝐭! 📢

Happy to share @XiaomiIndia is No. 1⃣ among ultra-slim Windows #i7 laptops online in 2020! - @IDC 🎉…",neutral
23,"RT @Starlightchi: Happy International Women's Day! it's never too late to appreciate Aqua! ✨💙✨

#kingdomhearts #kh #aqua https://t.co/2P1qo…",positive
24,"RT @ufobri: happy international women’s day. cash app me $2,000 &lt;3",positive
25,RT @lilyachty: Happy birthday LIL boat! Your 5!!! ❤️ https://t.co/yRrUyRKZ9Q,positive
26,"@PeacockClass2 It’s lovely to see all of them so happy in the right place learning, you must feel so happy and proud of them all x",positive
27,"RT @Spotify: @BTS_twt Happy Birthday, Suga! 🐱 https://t.co/ueWbIgJeUF",positive
28,RT @ChelseyAFC: I’m happy to announce a project myself and another person have been working on! Called @ArsenalCommand  I wanted to create…,positive
